circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
qft_n30,30,13,27,146,132,9.59,True,27,True,10.641,21,False,14.103,15,False,14.872
vqe_real_amp_n30,30,12,26,33,33,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
vqe_su2_n30,30,12,26,33,33,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
vqe_two_local_n30,30,13,27,201,168,16.42,True,24,False,21.073,20,False,25.594,17,False,27.586
wstate_n30,30,12,26,31,31,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
square_root_n45,32,13,26,570,570,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
53qubits_332gate_152layers,39,16,28,41,41,0.0,False,16,False,5.195,16,False,5.195,16,False,5.195
ghz_n40,40,13,27,39,39,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
graphstate_n40,40,14,27,5,4,20.0,True,15,False,0.0,15,False,0.0,15,False,0.0
ising_n40,40,13,27,7,4,42.86,True,15,False,0.0,15,False,0.0,15,False,0.0
multiplier_n40,40,17,31,17329,17329,0.0,False,17,False,0.009,17,False,0.009,17,False,0.009
qaoa_n40,40,14,28,299,213,28.76,True,23,False,11.286,20,False,13.123,17,False,15.289
qft_n40,40,15,29,233,187,19.74,True,27,False,12.288,21,False,16.271,17,False,17.797
vqe_real_amp_n40,40,13,27,45,43,4.44,False,15,False,0.0,13,False,3.419,13,False,3.419
vqe_su2_n40,40,13,27,45,43,4.44,False,15,False,0.0,13,False,3.419,13,False,3.419
vqe_two_local_n40,40,14,29,395,274,30.63,True,26,False,35.897,23,False,37.008,17,False,37.265
wstate_n40,40,13,27,42,41,2.38,False,15,False,0.0,13,False,1.282,13,False,1.282
bwt_n57,43,18,30,65605,65600,0.01,False,18,False,0.005,18,False,0.005,18,False,0.005
multiplier_n75,45,16,28,60,60,0.0,False,16,False,0.0,16,False,0.0,16,False,0.0
ghz_n50,50,16,29,49,49,0.0,False,16,False,0.0,16,False,0.0,16,False,0.0
graphstate_n50,50,16,29,5,5,0.0,False,16,False,0.0,16,False,0.0,16,False,0.0
ising_n50,50,16,29,4,4,0.0,False,16,False,0.0,16,False,0.0,16,False,0.0
qaoa_n50,50,17,30,393,303,22.9,True,25,False,17.845,23,False,18.825,19,False,22.785
qft_n50,50,16,30,350,240,31.43,True,28,False,12.468,21,False,16.013,19,False,18.481
randomcircuit_n50,50,20,33,1459,1363,6.58,True,24,False,5.797,21,False,7.219,20,False,8.878
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,50,18,31,77,62,19.48,True,25,False,6.571,25,False,6.571,21,False,11.0
synth_n50_d020_mix000_t030_hf000_hm001_r2_s1,50,19,31,67,56,16.42,True,25,False,4.0,25,False,4.0,21,False,7.857
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,50,18,31,81,68,16.05,True,26,False,5.286,20,False,6.714,20,False,6.714
synth_n50_d020_mix050_t030_hf000_hm001_r2_s1,50,19,31,76,73,3.95,False,24,False,4.0,19,False,8.714,19,False,8.714
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,50,20,32,72,71,1.39,False,20,False,8.571,20,False,8.571,20,False,8.571
synth_n50_d020_mix100_t030_hf000_hm001_r2_s1,50,19,31,74,69,6.76,True,23,False,7.429,22,False,9.429,19,False,10.286
synth_n50_d030_mix050_t030_hf000_hm001_r2_s0,50,19,32,114,104,8.77,True,26,False,4.853,25,False,5.328,19,False,11.893
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,50,18,31,159,131,17.61,True,22,False,8.143,22,False,8.143,19,False,13.214
synth_n50_d040_mix000_t030_hf000_hm001_r2_s1,50,18,31,162,135,16.67,True,25,False,5.643,22,False,7.143,20,False,10.786
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,50,19,32,154,140,9.09,True,25,False,5.643,23,False,6.929,19,False,10.429
synth_n50_d040_mix050_t030_hf000_hm001_r2_s1,50,19,31,163,150,7.98,True,22,False,6.5,22,False,6.5,19,False,10.571
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,50,18,31,167,141,15.57,True,24,False,7.714,22,False,8.786,20,False,11.857
