circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
synth_n50_d020_mix050_t030_hf000_hm001_r2_s1,50,12,28,276,74,73.19,True,26,False,6.286,20,False,8.714,19,False,10.286
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,50,12,28,239,72,69.87,True,26,False,9.143,20,False,10.286,19,False,12.143
synth_n50_d020_mix100_t030_hf000_hm001_r2_s1,50,12,28,213,74,65.26,True,20,False,12.714,19,False,13.286,18,False,13.857
synth_n50_d030_mix050_t030_hf000_hm001_r2_s0,50,12,28,390,107,72.56,True,23,False,7.517,23,False,7.517,19,False,11.893
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,50,12,28,569,132,76.8,True,24,False,5.071,24,False,5.071,20,False,10.786
synth_n50_d040_mix000_t030_hf000_hm001_r2_s1,50,12,28,523,134,74.38,True,26,False,5.071,24,False,7.929,20,False,9.643
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,50,12,28,601,140,76.71,True,24,False,6.214,22,False,7.714,20,False,10.0
synth_n50_d040_mix050_t030_hf000_hm001_r2_s1,50,12,28,548,150,72.63,True,24,False,6.5,21,False,9.071,18,False,9.071
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,50,12,28,554,142,74.37,True,26,False,7.786,23,False,8.929,18,False,12.571
synth_n50_d040_mix100_t030_hf000_hm001_r2_s1,50,12,28,528,142,73.11,True,24,False,9.143,22,False,9.0,19,False,10.786
vqe_real_amp_n50,50,10,26,53,53,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
vqe_su2_n50,50,10,26,53,53,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
vqe_two_local_n50,50,11,27,1947,406,79.15,True,27,True,43.891,25,False,44.871,18,False,43.02
wstate_n50,50,10,26,51,51,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
ghz_n60,60,12,27,59,59,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
graphstate_n60,60,12,27,5,5,0.0,False,12,False,5.0,12,False,5.0,12,False,5.0
